#id,name,trails,lifts,vertical,elevation,base,area,snowfall,city,postal code,latitude,longitude,website,wiki,region,country,continent,metric

# US Northeast
1259,Tuxedo,7,4,450,1400,950,35,36,Tuxedo ,10987,41.24887,-74.226512,http://www.tuxedoridge.com/,http://en.wikipedia.org/wiki/Tuxedo_Ski_Center,New York,USA,North America,FALSE
1260,West Mountain,40,4,1010,1470,460,124,,Queensbury ,12804,43.285556,-73.728333,http://www.skiwestmountain.com/,http://en.wikipedia.org/wiki/West_Mountain_%28ski_area%29,New York,USA,North America,FALSE
1261,Whiteface Mountain,86,11,3430,4650,1220,283,230,Wilmington,12997,44.365833,-73.902778,http://www.whiteface.com/,http://en.wikipedia.org/wiki/Whiteface_Mountain,New York,USA,North America,FALSE
1262,Windham Mountain,49,10,1600,3100,1500,269,,Windham,12496,42.298802,-74.257089,http://www.windhammountain.com/,http://en.wikipedia.org/wiki/Windham_Mountain,New York,USA,North America,FALSE
1275,Alpine Mountain,21,3,500,1150,650,60,,North Analomink,18320,41.113423,-75.225645,http://www.alpinemountain.com/,http://en.wikipedia.org/wiki/Alpine_Mountain_Ski_%26_Ride_Center,Pennsylvania,USA,North America,FALSE
1276,Bear Creek Mountain,21,7,510,1100,590,86,30,Macungie,18062,40.476111,-75.625833,http://www.skibearcreek.com/,http://en.wikipedia.org/wiki/Bear_Creek_Ski_and_Recreation_Area,Pennsylvania,USA,North America,FALSE
1277,Blue Mountain,39,13,1082,1540,458,164,30,Palmerton,18071,40.822222,-75.513333,http://www.skibluemt.com,http://en.wikipedia.org/wiki/Blue_Mountain_Ski_Area,Pennsylvania,USA,North America,FALSE
1278,Camelback,34,14,800,2133,1333,160,50,Tannersville,18372,41.05214,-75.355688,http://www.skicamelback.com/,http://en.wikipedia.org/wiki/Camelback_Ski_Area,Pennsylvania,USA,North America,FALSE
1279,Elk Mountain,27,7,1000,2694,1694,140,,Union Dale,18470,41.723908,-75.554377,http://www.elkskier.com/,http://en.wikipedia.org/wiki/Elk_Mountain_Ski_Area,Pennsylvania,USA,North America,FALSE
1280,Jack Frost,21,9,600,2000,1400,100,50,Blakeslee,18610,41.107085,-75.652503,http://www.jfbb.com/,http://en.wikipedia.org/wiki/Jack_Frost_Ski_Resort,Pennsylvania,USA,North America,FALSE
